T,T_actual,H,I,V1,V2,V3,V4,V5,V6,V7,V8
380,380.0527054,-0.026940609,0.001,63.29224487,-63.59782534,25.95296475,-26.04462149,63.45534653,-63.43472694,25.89184143,-26.04464979
379,378.9815048,0.007347439,0.001,63.16989223,-63.16973247,25.80007836,-26.06503102,63.10874251,-63.23082838,25.77969776,-26.10578857
378,377.9743744,0.013878496,0.001,63.24128973,-63.13916564,25.7592971,-26.08542786,63.13942689,-63.20028404,25.76948861,-25.95289486
377,376.9719925,0.03102252,0.001,63.11892588,-63.04739015,25.60639142,-25.96311048,63.12918223,-63.15950015,25.78986514,-25.97328797
376,375.9711868,-0.007347439,0.001,63.20049749,-62.92505351,25.69816372,-25.86116461,63.06798119,-63.15952906,25.70832141,-25.90195041
375,374.97034,-0.030206138,0.001,63.04758631,-63.05756731,25.56560853,-25.90192011,63.03737595,-63.02696566,25.76950026,-25.74900555
374,373.9723114,0.000816382,0.001,63.2310633,-63.04744293,25.60643409,-25.90194474,62.99667392,-62.99642576,25.62679927,-25.77961053
373,372.9736176,-0.01959317,0.001,63.03741973,-62.92510182,25.59620753,-25.9121261,63.05776666,-63.1493864,25.71852666,-25.87136082
372,371.9722534,-0.021225935,0.001,63.19036208,-63.08820061,25.57582289,-26.00388831,63.21071076,-63.19014287,25.65739031,-25.91215243
371,370.9728088,-0.029389755,0.001,63.31259297,-63.05762458,25.64715458,-25.91215409,63.06796746,-63.14932497,25.69815899,-25.82040847
370,369.972168,-0.004081911,0.001,63.13938913,-62.97599311,25.67776975,-25.91212826,63.14954791,-63.23090611,25.66755112,-25.80000132
369,368.9731354,0.010612967,0.001,63.12914925,-63.03714444,25.63695231,-25.88155048,63.05778356,-63.13913667,25.65735672,-25.78979809
368,367.9723877,-0.011429349,0.001,63.32278042,-62.92509756,25.63696183,-26.05483149,63.23104916,-63.26142766,25.66752875,-25.8407603
367,366.9730011,0.010612967,0.001,63.3635317,-63.13908777,25.72871149,-26.02423643,63.0984732,-63.23085649,25.64714893,-25.87131945
366,365.9730515,-0.005714675,0.001,63.24128584,-63.14932291,25.57580922,-25.97327357,63.02718357,-63.29206356,25.73891152,-25.92227607
365,364.973259,-0.043268252,0.001,63.25145787,-63.10845046,25.62674417,-25.95288416,63.11889241,-63.35319034,25.68793739,-25.87133978
364,363.9734238,-0.02694061,0.001,63.3125426,-63.08818103,25.5758002,-25.97326165,63.15967909,-63.24100395,25.73888387,-25.88152335
363,362.9732178,-0.006531057,0.001,63.40432132,-63.15949004,25.67773012,-25.92231404,63.12910201,-63.32258821,25.65732982,-25.810155
362,361.974295,0.008980203,0.001,63.42469936,-63.01671925,25.47389296,-25.96308122,63.21068053,-63.3633398,25.70831384,-25.8407571
361,360.9732895,-0.045717398,0.001,63.42464224,-62.99634778,25.63693088,-25.98346657,63.20047393,-63.26139825,25.75926674,-25.84076431
360,359.9727356,-0.020409553,0.001,63.2309924,-63.17984928,25.49421477,-25.87132852,63.31252909,-63.21047921,25.77965469,-25.96308031
359,358.9725418,-0.041635487,0.001,63.38392545,-63.13908806,25.62675513,-26.01403645,63.11892618,-63.20018682,25.71850658,-25.8713441
358,357.973233,-0.010612967,0.001,63.27181143,-63.12896223,25.65733986,-26.0446364,63.10872641,-63.29199363,25.70833959,-25.97328492
357,356.9712204,-0.01959317,0.001,63.28199463,-63.11870647,25.63696968,-25.93251184,63.20043927,-63.12890812,25.75927084,-25.93248602
356,355.9736053,-0.021225935,0.001,63.43482317,-63.07793436,25.53501522,-25.93249332,63.08831487,-63.17990685,25.73889034,-25.83055078
355,354.9707703,-0.013062114,0.001,63.25143228,-63.15948874,25.59615359,-25.79997254,63.10870775,-63.32255506,25.78984602,-25.77958395
354,353.9721054,-0.000816382,0.001,63.23095029,-63.03707261,25.51461752,-25.82036646,63.10866692,-63.24101447,25.74907158,-25.8101592
353,352.9722687,-0.018776788,0.001,63.38391387,-63.08807753,25.54520639,-25.96306284,63.14949115,-63.26138695,25.83060554,-25.93247028
