,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
0,2e-05,20000,250.000087738,106.403660863,-106.343749826,-106.469384611,106.507831168,106.552878051,-106.503728966,-106.377926676,106.397399185,1000000.0,-0.015459816399999937,-0.01009449590000031,-0.012777156150000125
1,2e-05,19000,249.9997047424,106.426732424,-106.402094853,-106.510911156,106.551400525,106.535796697,-106.494548102,-106.395517115,106.40963009,1000000.0,-0.010075876100000158,-0.012858223800000701,-0.011467049950000429
2,2e-05,18000,250.0002983093,106.424004287,-106.371812211,-106.507464724,106.553148637,106.545654572,-106.516923727,-106.383954258,106.430462476,1000000.0,-0.013338090049999352,-0.012309831350000166,-0.012823960699999758
3,2e-05,17000,250.0007522583,106.44504173,-106.412303998,-106.51158225,106.532833328,106.536783026,-106.521109684,-106.399309585,106.429821397,1000000.0,-0.010027349100000294,-0.01076422979999947,-0.010395789449999882
4,2e-05,16000,250.0006156921,106.428418801,-106.408629752,-106.509199421,106.531916412,106.548947803,-106.510494297,-106.412371245,106.433277265,1000000.0,-0.0111196773500005,-0.009773366149999418,-0.010446521749999958
5,2e-05,15000,249.9999923706,106.428880445,-106.410271002,-106.508495564,106.527759265,106.551128608,-106.498369875,-106.413633951,106.452192516,1000000.0,-0.010517351799999375,-0.008521418100000488,-0.009519384949999932
6,2e-05,14000,250.0006271362,106.418735829,-106.406560576,-106.504327468,106.529262757,106.534060153,-106.507225707,-106.408373018,106.440481603,1000000.0,-0.010799472749999239,-0.009236780200000539,-0.010018126474999889
7,2e-05,13000,249.9996421814,106.445916407,-106.406809989,-106.499893328,106.534375377,106.535967858,-106.509266944,-106.441613467,106.442176869,1000000.0,-0.009625420300001509,-0.0075239184499999116,-0.008574669375000711
8,2e-05,12000,250.0015182495,106.446863973,-106.429075139,-106.522104614,106.548977437,106.536476983,-106.507856633,-106.413176425,106.457063833,1000000.0,-0.00841972519999885,-0.010042089650000464,-0.009230907424999657
9,2e-05,11000,250.0008773804,106.461186088,-106.42371291,-106.494933243,106.548736494,106.5165434,-106.502076047,-106.441759556,106.469727724,1000000.0,-0.00668602244999974,-0.00660912285000137,-0.006647572650000555
10,2e-05,10000,250.0005584717,106.480075742,-106.434815416,-106.490165609,106.506264405,106.547336132,-106.496014944,-106.422496526,106.452239038,1000000.0,-0.006422995900000217,-0.006084722499999628,-0.0062538591999999225
11,2e-05,9000,250.0002433777,106.44789047,-106.43946007,-106.495961845,106.540133802,106.528283423,-106.499802975,-106.444890156,106.470864671,1000000.0,-0.007036792899999966,-0.006017040999999779,-0.006526916949999873
12,2e-05,8000,250.0008888245,106.489092078,-106.448438091,-106.484910629,106.532697513,106.540541849,-106.496463582,-106.450990203,106.489384187,1000000.0,-0.004973763099999218,-0.003861687599999897,-0.004417725349999558
13,2e-05,7000,250.000995636,106.483049856,-106.46695914,-106.488203379,106.53974225,106.528762337,-106.490408392,-106.452618519,106.487143823,1000000.0,-0.0034580866500000694,-0.004409164349999628,-0.0039336254999998484
14,2e-05,6000,250.0000175476,106.489900881,-106.461249797,-106.506190431,106.52539871,106.53417393,-106.48264748,-106.465030699,106.512329103,1000000.0,-0.0032835366000007584,-0.0027114669499994195,-0.002997501775000089
15,2e-05,5000,249.9997406006,106.483735452,-106.455027557,-106.487687043,106.521539643,106.523039245,-106.508083724,-106.457883225,106.481847645,1000000.0,-0.004617997999999801,-0.0034747907999985728,-0.004046394399999187
16,2e-05,4500,250.001750946,106.508986667,-106.466653096,-106.480652422,106.50407941,106.516280599,-106.497260939,-106.469917621,106.493329507,1000000.0,-0.0018950887499997293,-0.0010742352000015388,-0.001484661975000634
17,2e-05,4000,250.0010986328,106.511889267,-106.461409463,-106.504022432,106.512395235,106.510276319,-106.485873364,-106.457222076,106.487535242,1000000.0,-0.0011425476499994148,-0.003583017449999204,-0.0023627825499993095
18,2e-05,3500,250.0011566162,106.502568625,-106.462657721,-106.489267578,106.526368051,106.516668635,-106.471255734,-106.46627367,106.488749765,1000000.0,-0.0011349011499994788,-0.003030609700000042,-0.0020827554249997606
19,2e-05,3000,250.0007987976,106.491830803,-106.455820108,-106.494990568,106.52454788,106.516286283,-106.49864201,-106.457922209,106.498487947,1000000.0,-0.003363869100000727,-0.00315641459999938,-0.0032601418500000532
20,2e-05,2500,250.0003074646,106.472462285,-106.457085638,-106.485301415,106.502733097,106.497412055,-106.487265372,-106.466788341,106.509575274,1000000.0,-0.002756475199999642,-0.0005835448500008056,-0.0016700100250002237
21,2e-05,2000,250.0010314941,106.511114759,-106.460853837,-106.49396334,106.504121495,106.511338399,-106.48252523,-106.485888902,106.515994026,1000000.0,-0.0010947516499989264,0.0001899046500007273,-0.0004524234999990995
22,2e-05,1500,250.0009666443,106.522111743,-106.478631635,-106.486532447,106.5212108,106.519731665,-106.472770007,-106.466105001,106.514265867,1000000.0,0.0004120852999996316,-0.0013686189499999557,-0.000478266825000162
23,2e-05,1000,250.0009628296,106.484880172,-106.490933007,-106.481542416,106.501717874,106.497533633,-106.467214192,-106.477509766,106.512799574,1000000.0,0.0005532676999997932,0.00035245250000102144,0.00045286010000040734
24,2e-05,500,249.9989517212,106.493386827,-106.48554217,-106.487444684,106.510610843,106.513658605,-106.481865489,-106.479885716,106.522960351,1000000.0,-0.0008297548500003415,0.00023952700000009485,-0.0002951139250001233
25,2e-05,0,250.000390625,106.511991443,-106.472159479,-106.474349255,106.497110868,106.505059412,-106.481844671,-106.465023289,106.511305922,1000000.0,-0.00013765805000005572,0.0002434544000010419,5.2898175000493095e-05
