,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
0,2e-05,10000,299.9995269775,-121.838948368,121.855240682,121.842439213,-121.796424081,-121.788392297,121.82245187,121.860307729,-121.828971584,1000000.0,-0.004167244150000471,-0.002520800949999824,-0.0033440225500001473
1,2e-05,9000,300.001322937,-121.812968988,121.870644994,121.840613201,-121.792227044,-121.780411437,121.83673761,121.860423251,-121.837826458,1000000.0,-0.003323246749999953,-0.003270473199999202,-0.0032968599749995777
2,2e-05,8000,299.999206543,-121.826385697,121.861902983,121.819090198,-121.815963563,-121.795206885,121.834231143,121.860871513,-121.830331154,1000000.0,-0.0029425326000001918,-0.0028074453000009212,-0.0028749889500005567
3,2e-05,7000,300.0000854492,-121.822612537,121.854981026,121.843076624,-121.782244626,-121.80836479,121.838991072,121.855876001,-121.831799384,1000000.0,-0.0015118850500009274,-0.003117706749999627,-0.002314795900000277
4,2e-05,6000,300.0008911133,-121.81871757,121.854481574,121.81914058,-121.804524251,-121.818860312,121.855745071,121.856825188,-121.82789088,1000000.0,7.031194999882474e-05,-0.003052561850000757,-0.001491124950000966
5,2e-05,5000,300.0000900269,-121.815792302,121.860257203,121.846167885,-121.811027859,-121.811592342,121.844266144,121.848784608,-121.836261694,1000000.0,-0.0010095509500004595,-0.0013925278999998626,-0.001201039425000161
6,2e-05,4500,300.0001968384,-121.822193102,121.860929459,121.844791749,-121.818007551,-121.814474946,121.83457314,121.847767016,-121.808580809,1000000.0,-0.0017037237499998525,0.00032257374999886677,-0.0006905750000004928
7,2e-05,4000,299.999041748,-121.815685493,121.842249281,121.835713743,-121.798735066,-121.80052321,121.840021216,121.848568119,-121.818669075,1000000.0,-0.0008695174000010297,-0.0016394192500008842,-0.001254468325000957
8,2e-05,3500,299.9990539551,-121.830088108,121.856938885,121.824311339,-121.819017088,-121.801445309,121.848574698,121.863431301,-121.804652568,1000000.0,-0.0018503493000011418,-0.0012377721000000007,-0.0015440607000005713
9,2e-05,3000,299.9999542236,-121.815126687,121.852390175,121.839425302,-121.808346009,-121.812550337,121.83567803,121.85540572,-121.798808013,1000000.0,-0.0009644247500006031,-0.0003221211000003166,-0.0006432729250004599
10,2e-05,2500,300.0012161255,-121.818321563,121.837134103,121.855229833,-121.806401921,-121.813924582,121.847134312,121.850332627,-121.82438942,1000000.0,0.00028016139999991195,-0.000654514650000948,-0.000187176625000518
11,2e-05,2000,299.9995071411,-121.805467343,121.854592191,121.857193591,-121.813565814,-121.79572507,121.827203896,121.859164611,-121.826465798,1000000.0,-0.001856528399999746,-0.0007435501999992766,-0.0013000392999995114
12,2e-05,1500,300.0005828857,-121.815424683,121.849303566,121.840418941,-121.799821793,-121.805319001,121.865211356,121.862699732,-121.811728272,1000000.0,0.00029010539999987375,-0.0017093634999994834,-0.0007096290499998049
13,2e-05,1000,300.0008666992,-121.808230739,121.857467557,121.830913493,-121.800789573,-121.815893644,121.846281408,121.86103425,-121.842016423,1000000.0,-0.00017616220000107318,-0.003567380350000349,-0.001871771275000711
14,2e-05,500,299.9999313354,-121.81131861,121.853642016,121.846862582,-121.804636549,-121.816653074,121.859452102,121.861457819,-121.811781425,1000000.0,0.0005572275000012894,-0.0010870056500010606,-0.0002648890749998856
15,2e-05,0,299.9992477417,-121.811674895,121.856488116,121.845501018,-121.817496906,-121.812544955,121.858402034,121.862906927,-121.81756009,1000000.0,0.0001391989000005367,-0.0008734546500001273,-0.00036712787499979525
16,2e-05,-500,299.9998428345,-121.804805975,121.837965142,121.851661079,-121.79530941,-121.837008983,121.846133942,121.836209847,-121.80666257,1000000.0,0.0020185904000001643,0.0002049036000002502,0.0011117470000002073
17,2e-05,-1000,300.0000778198,-121.807994336,121.865723129,121.859878593,-121.804142059,-121.815130069,121.86820251,121.843224509,-121.813047018,1000000.0,0.00048075570000136734,0.00038745625000018434,0.0004341059750007758
18,2e-05,-1500,299.999369812,-121.7914559,121.84877761,121.842072798,-121.812934054,-121.810589907,121.861571151,121.833760442,-121.81822034,1000000.0,0.0015963773999999376,0.00015130349999949999,0.0008738404499997188
19,2e-05,-2000,299.9998306274,-121.806690247,121.86305569,121.860784505,-121.81938019,-121.81647786,121.843348528,121.833474953,-121.826926935,1000000.0,-0.0004959774500001401,0.000988140349999611,0.0002460814499997355
20,2e-05,-2500,300.0001296997,-121.798481371,121.848932589,121.847541808,-121.827413811,-121.821111972,121.86022287,121.828160553,-121.82301113,1000000.0,0.0016960441000001935,0.0011891968000000475,0.0014426204500001204
21,2e-05,-3000,300.0002487183,-121.820885037,121.846292141,121.842951896,-121.837875478,-121.835191283,121.841147642,121.848390545,-121.806493542,1000000.0,0.0004580873499996585,0.0012971643499994912,0.0008776258499995748
22,2e-05,-3500,300.0007492065,-121.819131844,121.854740937,121.857731212,-121.845553656,-121.826621862,121.864756031,121.824204607,-121.806998538,1000000.0,0.0008752555999997468,0.0036040861500012513,0.002239670875000499
23,2e-05,-4000,300.0003662109,-121.808130446,121.83920605,121.862243437,-121.822878969,-121.82994842,121.856777204,121.851273576,-121.807607153,1000000.0,0.0019694563999991034,0.0013120838500000787,0.0016407701249995911
24,2e-05,-4500,300.0012985229,-121.803926131,121.844890683,121.860980973,-121.815123147,-121.829834361,121.844771198,121.832636271,-121.83574773,1000000.0,0.0012894372500007023,0.0003860059499999124,0.0008377216000003073
25,2e-05,-5000,300.0007110596,-121.815410044,121.836429168,121.841360495,-121.83972652,-121.822777202,121.850986421,121.830550423,-121.815999836,1000000.0,0.0010962205500000266,0.0017268377999997142,0.0014115291749998704
26,2e-05,-6000,300.0009506226,-121.814598361,121.849820219,121.861728213,-121.833749985,-121.828466717,121.852963886,121.842748437,-121.821162948,1000000.0,0.0008506011500003296,0.0015783406499998876,0.0012144709000001086
27,2e-05,-7000,300.0000366211,-121.807451094,121.825485271,121.843968341,-121.818470729,-121.820592589,121.871014599,121.831736082,-121.79676407,1000000.0,0.0029335411499999964,0.0016969459000002018,0.002315243525000099
28,2e-05,-8000,299.9994445801,-121.801249946,121.832631539,121.870927371,-121.832909811,-121.843026394,121.869369646,121.83669253,-121.813065986,1000000.0,0.003925727749999197,0.0027039332999990507,0.0033148305249991235
29,2e-05,-9000,300.000553894,-121.80374806,121.833925722,121.874160429,-121.834107918,-121.815983503,121.844887102,121.832341371,-121.791724761,1000000.0,0.0011598411499996076,0.00421011075000024,0.002684975949999924
30,2e-05,-10000,299.999420166,-121.800651562,121.824817659,121.854534586,-121.827767198,-121.833514619,121.868347723,121.830418499,-121.794867963,1000000.0,0.0038196560499997646,0.002850766099999902,0.003335211074999833
31,2e-05,-10000,300.0003936768,-121.788392297,121.82245187,121.860307729,-121.828971584,-121.838948368,121.855240682,121.842439213,-121.796424081,1000000.0,0.004167244150001181,0.0025208009499991134,0.0033440225500001473
32,2e-05,-9000,300.0013427734,-121.780411437,121.83673761,121.860423251,-121.837826458,-121.812968988,121.870644994,121.840613201,-121.792227044,1000000.0,0.003323246749999953,0.003270473199999202,0.0032968599749995777
33,2e-05,-8000,300.0006149292,-121.795206885,121.834231143,121.860871513,-121.830331154,-121.826385697,121.861902983,121.819090198,-121.815963563,1000000.0,0.002942532600000902,0.002807445300001632,0.002874988950001267
34,2e-05,-7000,299.9999908447,-121.80836479,121.838991072,121.855876001,-121.831799384,-121.822612537,121.854981026,121.843076624,-121.782244626,1000000.0,0.0015118850500009274,0.0031177067500003375,0.0023147959000006323
35,2e-05,-6000,300.000982666,-121.818860312,121.855745071,121.856825188,-121.82789088,-121.81871757,121.854481574,121.81914058,-121.804524251,1000000.0,-7.031194999953527e-05,0.003052561850000046,0.0014911249500002555
36,2e-05,-5000,300.0014343262,-121.811592342,121.844266144,121.848784608,-121.836261694,-121.815792302,121.860257203,121.846167885,-121.811027859,1000000.0,0.0010095509500004595,0.001392527899999152,0.0012010394249998058
37,2e-05,-4500,300.0008972168,-121.814474946,121.83457314,121.847767016,-121.808580809,-121.822193102,121.860929459,121.844791749,-121.818007551,1000000.0,0.001703723750000563,-0.00032257374999886677,0.0006905750000008482
38,2e-05,-4000,300.0005065918,-121.80052321,121.840021216,121.848568119,-121.818669075,-121.815685493,121.842249281,121.835713743,-121.798735066,1000000.0,0.0008695174000003192,0.001639419249999463,0.001254468324999891
39,2e-05,-3500,300.0011871338,-121.801445309,121.848574698,121.863431301,-121.804652568,-121.830088108,121.856938885,121.824311339,-121.819017088,1000000.0,0.0018503493000004312,0.0012377720999992904,0.001544060699999861
40,2e-05,-3000,300.0005599976,-121.812550337,121.83567803,121.85540572,-121.798808013,-121.815126687,121.852390175,121.839425302,-121.808346009,1000000.0,0.0009644247499998926,0.0003221211000003166,0.0006432729250001046
41,2e-05,-2500,300.0000976562,-121.813924582,121.847134312,121.850332627,-121.82438942,-121.818321563,121.837134103,121.855229833,-121.806401921,1000000.0,-0.0002801614000006225,0.0006545146499995269,0.0001871766249994522
42,2e-05,-2000,300.0007064819,-121.79572507,121.827203896,121.859164611,-121.826465798,-121.805467343,121.854592191,121.857193591,-121.813565814,1000000.0,0.0018565283999990357,0.0007435501999999872,0.0013000392999995116
43,2e-05,-1500,300.0007659912,-121.805319001,121.865211356,121.862699732,-121.811728272,-121.815424683,121.849303566,121.840418941,-121.799821793,1000000.0,-0.0002901054000005843,0.0017093634999994834,0.0007096290499994496
44,2e-05,-1000,300.0010116577,-121.815893644,121.846281408,121.86103425,-121.842016423,-121.808230739,121.857467557,121.830913493,-121.800789573,1000000.0,0.0001761621999996521,0.003567380350000349,0.0018717712750000004
45,2e-05,-500,300.0013336182,-121.816653074,121.859452102,121.861457819,-121.811781425,-121.81131861,121.853642016,121.846862582,-121.804636549,1000000.0,-0.0005572275000012894,0.00108700565000035,0.0002648890749995303
46,2e-05,0,300.0008728027,-121.812544955,121.858402034,121.862906927,-121.81756009,-121.811674895,121.856488116,121.845501018,-121.817496906,1000000.0,-0.00013919890000124724,0.0008734546500008377,0.00036712787499979525
47,2e-05,500,300.0007827759,-121.837008983,121.846133942,121.836209847,-121.80666257,-121.804805975,121.837965142,121.851661079,-121.79530941,1000000.0,-0.0020185904000001643,-0.00020490359999953968,-0.001111746999999852
48,2e-05,1000,300.0010635376,-121.815130069,121.86820251,121.843224509,-121.813047018,-121.807994336,121.865723129,121.859878593,-121.804142059,1000000.0,-0.00048075570000136734,-0.00038745625000018434,-0.0004341059750007758
49,2e-05,1500,300.0009643555,-121.810589907,121.861571151,121.833760442,-121.81822034,-121.7914559,121.84877761,121.842072798,-121.812934054,1000000.0,-0.0015963773999999376,-0.00015130349999949999,-0.0008738404499997188
50,2e-05,2000,300.0005569458,-121.81647786,121.843348528,121.833474953,-121.826926935,-121.806690247,121.86305569,121.860784505,-121.81938019,1000000.0,0.0004959774500001401,-0.0009881403499989005,-0.0002460814499993802
51,2e-05,2500,300.0012908936,-121.821111972,121.86022287,121.828160553,-121.82301113,-121.798481371,121.848932589,121.847541808,-121.827413811,1000000.0,-0.0016960441000009041,-0.0011891968000000475,-0.0014426204500004758
52,2e-05,3000,300.0006561279,-121.835191283,121.841147642,121.848390545,-121.806493542,-121.820885037,121.846292141,121.842951896,-121.837875478,1000000.0,-0.00045808734999894794,-0.0012971643500002017,-0.0008776258499995748
53,2e-05,3500,299.9993621826,-121.826621862,121.864756031,121.824204607,-121.806998538,-121.819131844,121.854740937,121.857731212,-121.845553656,1000000.0,-0.0008752555999990364,-0.0036040861500005405,-0.0022396708749997884
54,2e-05,4000,300.0015640259,-121.82994842,121.856777204,121.851273576,-121.807607153,-121.808130446,121.83920605,121.862243437,-121.822878969,1000000.0,-0.0019694563999991034,-0.0013120838500000787,-0.0016407701249995911
55,2e-05,4500,300.0012893677,-121.829834361,121.844771198,121.832636271,-121.83574773,-121.803926131,121.844890683,121.860980973,-121.815123147,1000000.0,-0.0012894372499992813,-0.0003860059499999124,-0.0008377215999995969
56,2e-05,5000,300.0010070801,-121.822777202,121.850986421,121.830550423,-121.815999836,-121.815410044,121.836429168,121.841360495,-121.83972652,1000000.0,-0.0010962205500007372,-0.0017268377999997142,-0.0014115291750002256
57,2e-05,6000,300.0010055542,-121.828466717,121.852963886,121.842748437,-121.821162948,-121.814598361,121.849820219,121.861728213,-121.833749985,1000000.0,-0.0008506011500003296,-0.0015783406499998876,-0.0012144709000001086
58,2e-05,7000,300.001335144,-121.820592589,121.871014599,121.831736082,-121.79676407,-121.807451094,121.825485271,121.843968341,-121.818470729,1000000.0,-0.0029335411499999964,-0.0016969458999987808,-0.0023152435249993884
59,2e-05,8000,300.0009933472,-121.843026394,121.869369646,121.83669253,-121.813065986,-121.801249946,121.832631539,121.870927371,-121.832909811,1000000.0,-0.003925727749999197,-0.002703933299999761,-0.003314830524999479
60,2e-05,9000,300.0001953125,-121.815983503,121.844887102,121.832341371,-121.791724761,-121.80374806,121.833925722,121.874160429,-121.834107918,1000000.0,-0.0011598411500003182,-0.00421011075000024,-0.002684975950000279
