,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
0,5e-05,20000,50.0260440826,67.590934236,-67.544784717,-80.233124565,80.266254843,80.39431956,-80.40228911,-67.705607027,67.740235622,1000000.0,-0.5132177943400004,-0.5010707351799997,-0.50714426476
1,5e-05,19000,49.9946886063,68.12013133,-68.13145909,-80.71759451,80.73304189,80.8817645,-80.89857611,-68.287058504,68.292911474,1000000.0,-0.5105750037999996,-0.49741332844000025,-0.5039941661199999
2,5e-05,18000,49.9990009308,68.69785588,-68.71142831,-81.20239199,81.233178019,81.34581586,-81.35938641,-68.811049686,68.859803004,1000000.0,-0.5059183616000001,-0.49529434638,-0.5006063539900001
3,5e-05,17000,50.0001169205,69.25242916,-69.28539106,-81.704922834,81.7076086,81.83668689,-81.84315631,-69.391991773,69.442519293,1000000.0,-0.5028404595999996,-0.49156040736000023,-0.49720043347999987
4,5e-05,16000,49.9998888016,69.86310161,-69.87658567,-82.202869025,82.239530564,82.35156782,-82.337145916,-69.970534307,69.994122303,1000000.0,-0.49898052911999996,-0.48955485957999995,-0.49426769434999995
5,5e-05,15000,50.0000728607,70.43634362,-70.44505747,-82.736393933,82.758461461,82.85584114,-82.847487785,-70.539869771,70.585306893,1000000.0,-0.4964385566999999,-0.4873935746000004,-0.4919160656500001
6,5e-05,14000,50.000110054,71.05891848,-71.06957876,-83.239305656,83.264325179,83.36987808,-83.368015992,-71.158724276,71.201595013,1000000.0,-0.49218793664000005,-0.48286623091999986,-0.48752708378
7,5e-05,13000,50.0000865936,71.66568152,-71.68689121,-83.781121345,83.811495737,83.893199319,-83.897007409,-71.76754877,71.814818653,1000000.0,-0.4887526799599996,-0.48020499317999993,-0.4844788365699998
8,5e-05,12000,50.0001491547,72.28947003,-72.30373221,-84.300866614,84.326072719,84.41059691,-84.442824163,-72.398245153,72.394698678,1000000.0,-0.48520437665999966,-0.4766799100399999,-0.48094214334999974
9,5e-05,11000,49.9999717712,72.9103697,-72.92739611,-84.851947431,84.877660913,84.94805419,-84.963202293,-73.007155456,73.041083889,1000000.0,-0.4814698134599996,-0.47362737997999943,-0.4775485967199995
10,5e-05,10000,50.0000905991,73.52817858,-73.56485304,-85.401218216,85.435983561,85.500886363,-85.504191408,-73.615735104,73.664456861,1000000.0,-0.47824092302,-0.47114019624000036,-0.4746905596300002
11,5e-05,9500,50.0000801086,73.85255989,-73.88131336,-85.665198916,85.696507795,85.73387451,-85.760722404,-73.960473272,74.003902052,1000000.0,-0.4752144732800005,-0.4679466277400002,-0.47158055051000036
12,5e-05,9000,50.0000501633,74.18939145,-74.1936155,-85.947506371,85.992728179,86.02126684,-86.036463725,-74.277389181,74.320142767,1000000.0,-0.4734944722999998,-0.46685405204000036,-0.4701742621700001
13,5e-05,8500,50.000267601,74.51389159,-74.53725003,-86.229919888,86.263247767,86.31419315,-86.34476583,-74.596830963,74.616660597,1000000.0,-0.47215634719999966,-0.4655935218999994,-0.4688749345499995
14,5e-05,8000,49.9998373032,74.83778739,-74.84704483,-86.498439515,86.550836053,86.593291,-86.598275895,-74.925141973,74.934291859,1000000.0,-0.4701346934999998,-0.46379683471999983,-0.4669657641099998
15,5e-05,7500,50.0002962112,75.15631257,-75.17786404,-86.788410538,86.823855657,86.85504117,-86.888819252,-75.236858647,75.258377801,1000000.0,-0.4681936762400005,-0.4623405949399998,-0.46526713559000016
16,5e-05,7000,50.0000925064,75.49794872,-75.51109546,-87.067563709,87.091377965,87.14377245,-87.163772902,-75.567413978,75.594459266,1000000.0,-0.4659700234400003,-0.45994136859999996,-0.46295569602000014
17,5e-05,6500,49.9999361038,75.83271241,-75.84488187,-87.342944361,87.398854694,87.43863268,-87.447464062,-75.895657971,75.918985478,1000000.0,-0.46417004924,-0.45854311212,-0.46135658067999996
18,5e-05,6000,50.0001508713,76.16753514,-76.16184083,-87.62629429,87.659723931,87.71127534,-87.7117877,-76.207495142,76.26221704,1000000.0,-0.46187374140000004,-0.45632612078000023,-0.45909993109000014
19,5e-05,5500,50.0000652313,76.47119259,-76.50130088,-87.925738346,87.955605877,87.99273117,-88.001158004,-76.540500305,76.561039857,1000000.0,-0.4604279140799997,-0.45559608121999984,-0.4580119976499998
20,5e-05,5000,50.0003087997,76.82135197,-76.82705879,-88.206542125,88.220865477,88.26034542,-88.280281938,-76.873591823,76.900802746,1000000.0,-0.4578443319600001,-0.45306026066000044,-0.4554522963100003
21,5e-05,4500,50.0001523972,77.15426148,-77.15683621,-88.509860344,88.524040445,88.54462772,-88.563285882,-77.197002428,77.239331375,1000000.0,-0.45593631823999997,-0.4519513397199998,-0.45394382897999985
22,5e-05,4000,50.0000555038,77.48441281,-77.48204939,-88.769179222,88.814062472,88.845917994,-88.855091827,-77.512937493,77.544511127,1000000.0,-0.45469095242000007,-0.4505158614800001,-0.4526034069500001
23,5e-05,3500,50.0001760483,77.79710541,-77.81977065,-89.071778605,89.094844747,89.10930236,-89.137874744,-77.864827856,77.877521837,1000000.0,-0.4526060208800004,-0.4484854731799996,-0.45054574703
24,5e-05,3000,49.999977684,78.15618888,-78.15860581,-89.342596548,89.375657895,89.40134517,-89.41830815,-78.17076363,78.219034884,1000000.0,-0.4500971726000003,-0.4465691185800003,-0.4483331455900003
25,5e-05,2500,50.0000347137,78.49004116,-78.49338612,-89.611528064,89.666664698,89.67102489,-89.691354645,-78.526493033,78.525923584,1000000.0,-0.4475790451,-0.44451552290000024,-0.44604728400000015
26,5e-05,2000,49.9999948502,78.81327858,-78.82432033,-89.923367937,89.942697605,89.9563336,-89.971986768,-78.862740523,78.883690968,1000000.0,-0.4458144291599996,-0.4423926810200001,-0.4441035550899999
27,5e-05,1500,50.0000207901,79.15779013,-79.16078779,-90.199339933,90.222713766,90.23654252,-90.26358255,-79.186803617,79.232007993,1000000.0,-0.443630943,-0.4400648417800002,-0.4418478923900001
