,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
0,0.001,9000,121.0040309906,18.709215483,-18.6996352,-15.080105243,15.108958106,15.269572323,-15.23739694,-18.803762563,18.849089246,1000000.0,0.006901881419999999,0.007463788459999996,0.007182834939999997
1,0.001,8000,121.0017822266,19.068615008,-19.04176674,-14.68289862,14.746302549,14.904807431,-14.869161518,-19.186130638,19.214569813,1000000.0,0.008336412798999993,0.008971499282000004,0.008653956040499998
2,0.001,7000,120.99962883,19.423466897,-19.401576644,-14.329224797,14.386699508,14.538917643,-14.50380346,-19.524998353,19.557512327,1000000.0,0.009782322438000002,0.010366586375,0.0100744544065
3,0.001,6000,120.9989532471,19.748543147,-19.720187151,-13.983966817,14.007063198,14.197889431,-14.173389372,-19.870783498,19.90428545,1000000.0,0.011097451494999995,0.011784038933000002,0.011440745213999999
4,0.001,5000,120.9991634369,20.073085043,-20.062918294,-13.619401609,13.666041189,13.8625414,-13.810956496,-20.211536933,20.21711233,1000000.0,0.012462505441,0.013143206465000003,0.012802855953000002
5,0.001,4500,121.0000602722,20.249273466,-20.205324751,-13.466270084,13.498853281,13.699006512,-13.652566597,-20.37688101,20.384109961,1000000.0,0.013103025107999997,0.013795867606000002,0.013449446357
6,0.001,4000,120.9998256683,20.378219741,-20.366530405,-13.314375756,13.323183126,13.511403114,-13.476196399,-20.525470024,20.550668366,1000000.0,0.013757150633,0.014438579508,0.0140978650705
7,0.001,3500,121.000164032,20.544280241,-20.554846997,-13.131923598,13.167035422,13.362530808,-13.338238312,-20.689804123,20.708351103,1000000.0,0.014398358117999992,0.015099196205999999,0.014748777161999994
8,0.001,3000,121.0007247925,20.695399306,-20.673188345,-12.98013128,12.996530293,13.207680516,-13.192288598,-20.819675589,20.86126037,1000000.0,0.014968618537,0.015704274385999997,0.015336446461499998
9,0.001,2500,121.0005321503,20.839199095,-20.826318631,-12.825470126,12.865629266,13.078304121,-13.025407446,-20.976940675,21.006100273,1000000.0,0.015561806159000003,0.016291941556000004,0.015926873857500003
10,0.001,2000,121.0005214691,20.978203348,-20.97156235,-12.661217963,12.692388937,12.914365386,-12.868251382,-21.118046516,21.162993705,1000000.0,0.01616714893,0.016927433321,0.016547291125499998
11,0.001,1500,121.0001079559,21.118476217,-21.114350233,-12.53851805,12.579894021,12.783380649,-12.746549703,-21.236509468,21.287407883,1000000.0,0.016702896098000002,0.01740550528,0.017054200689
12,0.001,1000,121.0003520966,21.211577595,-21.210369707,-12.405809776,12.424026557,12.652290786,-12.626880608,-21.368010782,21.403852737,1000000.0,0.017142775908000004,0.017942027186,0.017542401547
13,0.001,500,121.0006324768,21.324970366,-21.293254274,-12.314849143,12.378160518,12.557089748,-12.547840673,-21.454426045,21.474097191,1000000.0,0.017513294218999994,0.018235513575,0.017874403897
14,0.001,0,121.0000915527,21.30887866,-21.293236209,-12.308777254,12.342369986,12.567170026,-12.539039951,-21.449769851,21.477537932,1000000.0,0.017495904892000005,0.018276160543,0.0178860327175
15,0.001,-500,121.0002380371,21.050863741,-21.018847673,-12.597236717,12.625779005,12.795292205,-12.763438534,-21.220937743,21.245668288,1000000.0,0.01651098067499999,0.017243590309000002,0.016877285491999995
16,0.001,-1000,121.0004867554,19.596182544,-19.496988402,-14.184798296,14.249925901,14.229239089,-14.228693053,-19.725662179,19.728232913,1000000.0,0.010635238804,0.011019170894999998,0.010827204849499998
17,0.001,-1500,121.000435257,14.096383523,-13.936351691,-19.871859613,19.990712124,19.592815657,-19.712116575,-14.090421426,14.070330368,1000000.0,-0.011272197018,-0.011701819943000003,-0.0114870084805
18,0.001,-2000,121.0003047943,10.214067817,-10.160068927,-23.705657731,23.783789867,23.572580607,-23.588661469,-10.173735086,10.217016503,1000000.0,-0.026787105332000002,-0.027098696008999997,-0.0269429006705
19,0.001,-2500,121.0002094269,10.898442832,-10.916698283,-23.002441733,23.030277783,22.931160716,-22.886622806,-10.831617401,10.879266732,1000000.0,-0.024002642406999997,-0.024321835383,-0.024162238895
20,0.001,-3000,121.0004585266,12.143052063,-12.131997148,-21.795185054,21.806795734,21.675832881,-21.637464313,-12.016098893,12.052923623,1000000.0,-0.019038247983,-0.01953295827200001,-0.019285603127500002
21,0.001,-3500,121.0002449036,12.819132223,-12.810009899,-21.130343367,21.156474248,21.014529599,-20.974210209,-12.662966127,12.696162915,1000000.0,-0.016359597685999996,-0.016927688572999998,-0.016643643129499997
22,0.001,-4000,121.0004291534,13.215849132,-13.189829682,-20.768985013,20.770346241,20.625179171,-20.615096321,-13.021970492,13.047675357,1000000.0,-0.014834596678,-0.015469685405000003,-0.015152141041500002
23,0.001,-4500,121.0001781464,13.482062414,-13.473142312,-20.487001585,20.531055979,20.381977119,-20.35028217,-13.297203885,13.307240002,1000000.0,-0.013777054563,-0.014413613677,-0.01409533412
24,0.001,-5000,121.0003479004,13.705352181,-13.672260095,-20.271418504,20.309490317,20.153768924,-20.135116619,-13.50136816,13.552568612,1000000.0,-0.012911273267000003,-0.013526972049000004,-0.013219122658000003
25,0.001,-6000,121.0000026703,14.109138383,-14.124150566,-19.889361127,19.922151916,19.806482737,-19.782471396,-13.93962819,13.95968794,1000000.0,-0.011355665184,-0.011912196913000004,-0.011633931048500003
26,0.001,-7000,121.0005706787,14.516669572,-14.492872475,-19.525811631,19.549995804,19.441106579,-19.416177309,-14.32066881,14.379751664,1000000.0,-0.009847741840999997,-0.010375386961,-0.010111564400999999
27,0.001,-8000,121.0002895355,14.892155993,-14.878474791,-19.16394879,19.205778974,19.079873809,-19.083027626,-14.707879334,14.743311108,1000000.0,-0.008392270651,-0.008918537322000005,-0.008655403986500002
28,0.001,-9000,121.0001319885,15.266925373,-15.23808104,-18.819817402,18.847157519,18.72499922,-18.718980545,-15.114920703,15.133952383,1000000.0,-0.006938973352000001,-0.007418101835000005,-0.007178537593500003
29,0.001,-10000,121.000276947,15.636970134,-15.604474551,-18.440986055,18.47630405,18.396211354,-18.356328249,-15.471499976,15.503589625,1000000.0,-0.005511094918000001,-0.005942200503999999,-0.005726647711
30,0.001,-9000,121.0003681183,15.269572323,-15.23739694,-18.803762563,18.849089246,18.709215483,-18.6996352,-15.080105243,15.108958106,1000000.0,-0.006901881419999999,-0.00746378846,-0.007182834939999999
31,0.001,-8000,121.0006530762,14.904807431,-14.869161518,-19.186130638,19.214569813,19.068615008,-19.04176674,-14.68289862,14.746302549,1000000.0,-0.008336412798999998,-0.008971499282000008,-0.008653956040500003
32,0.001,-7000,121.0000011444,14.538917643,-14.50380346,-19.524998353,19.557512327,19.423466897,-19.401576644,-14.329224797,14.386699508,1000000.0,-0.009782322438000002,-0.010366586374999997,-0.0100744544065
33,0.001,-6000,121.0004768372,14.197889431,-14.173389372,-19.870783498,19.90428545,19.748543147,-19.720187151,-13.983966817,14.007063198,1000000.0,-0.011097451494999997,-0.011784038932999995,-0.011440745213999997
34,0.001,-5000,121.0003753662,13.8625414,-13.810956496,-20.211536933,20.21711233,20.073085043,-20.062918294,-13.619401609,13.666041189,1000000.0,-0.012462505440999997,-0.013143206464999996,-0.012802855952999997
35,0.001,-4500,120.9997970581,13.699006512,-13.652566597,-20.37688101,20.384109961,20.249273466,-20.205324751,-13.466270084,13.498853281,1000000.0,-0.013103025108,-0.013795867605999997,-0.013449446357
36,0.001,-4000,121.0005264282,13.511403114,-13.476196399,-20.525470024,20.550668366,20.378219741,-20.366530405,-13.314375756,13.323183126,1000000.0,-0.013757150632999999,-0.014438579507999996,-0.014097865070499998
37,0.001,-3500,121.0003799438,13.362530808,-13.338238312,-20.689804123,20.708351103,20.544280241,-20.554846997,-13.131923598,13.167035422,1000000.0,-0.014398358117999997,-0.015099196206,-0.014748777161999998
38,0.001,-3000,121.0001110077,13.207680516,-13.192288598,-20.819675589,20.86126037,20.695399306,-20.673188345,-12.98013128,12.996530293,1000000.0,-0.014968618536999998,-0.015704274385999993,-0.015336446461499995
39,0.001,-2500,121.000769043,13.078304121,-13.025407446,-20.976940675,21.006100273,20.839199095,-20.826318631,-12.825470126,12.865629266,1000000.0,-0.015561806159000003,-0.016291941556000004,-0.015926873857500003
40,0.001,-2000,121.0002105713,12.914365386,-12.868251382,-21.118046516,21.162993705,20.978203348,-20.97156235,-12.661217963,12.692388937,1000000.0,-0.01616714893,-0.016927433321,-0.016547291125499998
41,0.001,-1500,121.0009075165,12.783380649,-12.746549703,-21.236509468,21.287407883,21.118476217,-21.114350233,-12.53851805,12.579894021,1000000.0,-0.016702896098,-0.01740550528,-0.017054200689
42,0.001,-1000,121.0005264282,12.652290786,-12.626880608,-21.368010782,21.403852737,21.211577595,-21.210369707,-12.405809776,12.424026557,1000000.0,-0.017142775908,-0.017942027186000003,-0.017542401547
43,0.001,-500,121.0002498627,12.557089748,-12.547840673,-21.454426045,21.474097191,21.324970366,-21.293254274,-12.314849143,12.378160518,1000000.0,-0.017513294218999997,-0.018235513575000004,-0.017874403897
44,0.001,0,121.0003879547,12.567170026,-12.539039951,-21.449769851,21.477537932,21.30887866,-21.293236209,-12.308777254,12.342369986,1000000.0,-0.017495904892,-0.018276160543000002,-0.0178860327175
45,0.001,500,121.0002815247,12.795292205,-12.763438534,-21.220937743,21.245668288,21.050863741,-21.018847673,-12.597236717,12.625779005,1000000.0,-0.016510980675,-0.017243590309,-0.016877285492
46,0.001,1000,121.0001476288,14.229239089,-14.228693053,-19.725662179,19.728232913,19.596182544,-19.496988402,-14.184798296,14.249925901,1000000.0,-0.010635238804,-0.011019170894999996,-0.010827204849499998
47,0.001,1500,121.0006599426,19.592815657,-19.712116575,-14.090421426,14.070330368,14.096383523,-13.936351691,-19.871859613,19.990712124,1000000.0,0.011272197017999998,0.011701819943000003,0.0114870084805
48,0.001,2000,121.0002399445,23.572580607,-23.588661469,-10.173735086,10.217016503,10.214067817,-10.160068927,-23.705657731,23.783789867,1000000.0,0.026787105332000002,0.027098696008999997,0.0269429006705
49,0.001,2500,121.0002529144,22.931160716,-22.886622806,-10.831617401,10.879266732,10.898442832,-10.916698283,-23.002441733,23.030277783,1000000.0,0.024002642406999997,0.024321835383,0.024162238895
50,0.001,3000,121.0006008148,21.675832881,-21.637464313,-12.016098893,12.052923623,12.143052063,-12.131997148,-21.795185054,21.806795734,1000000.0,0.019038247983000002,0.019532958272000002,0.019285603127500002
51,0.001,3500,121.0002830505,21.014529599,-20.974210209,-12.662966127,12.696162915,12.819132223,-12.810009899,-21.130343367,21.156474248,1000000.0,0.016359597685999996,0.016927688572999998,0.016643643129499997
52,0.001,4000,121.0003978729,20.625179171,-20.615096321,-13.021970492,13.047675357,13.215849132,-13.189829682,-20.768985013,20.770346241,1000000.0,0.014834596677999993,0.015469685405000003,0.015152141041499999
53,0.001,4500,121.000030899,20.381977119,-20.35028217,-13.297203885,13.307240002,13.482062414,-13.473142312,-20.487001585,20.531055979,1000000.0,0.013777054563,0.014413613677,0.01409533412
54,0.001,5000,121.0002212524,20.153768924,-20.135116619,-13.50136816,13.552568612,13.705352181,-13.672260095,-20.271418504,20.309490317,1000000.0,0.012911273267000005,0.013526972049000002,0.013219122658000003
55,0.001,6000,121.0002723694,19.806482737,-19.782471396,-13.93962819,13.95968794,14.109138383,-14.124150566,-19.889361127,19.922151916,1000000.0,0.011355665184,0.011912196912999998,0.0116339310485
56,0.001,7000,121.0000682831,19.441106579,-19.416177309,-14.32066881,14.379751664,14.516669572,-14.492872475,-19.525811631,19.549995804,1000000.0,0.009847741840999999,0.010375386961,0.010111564401
57,0.001,8000,121.0004573822,19.079873809,-19.083027626,-14.707879334,14.743311108,14.892155993,-14.878474791,-19.16394879,19.205778974,1000000.0,0.008392270650999996,0.008918537322000002,0.008655403986499999
58,0.001,9000,121.0002338409,18.72499922,-18.718980545,-15.114920703,15.133952383,15.266925373,-15.23808104,-18.819817402,18.847157519,1000000.0,0.006938973352000001,0.007418101835000001,0.007178537593500001
