,I,B,B_int,T,V1,V2,V3,V4,V5,V6,V7,V8,Rel_value,multiplier,R1,R2,R3,R4,R5,R6,R7,R8,Ra,Rb,R,MR
0,0.001,10000.4040527344,10000,124.9585308075,5225.0047286674,-5225.768878998,4635.066777146,-4635.185439038,5227.007616638,-5226.97852704,4635.742023,-4635.623855461,-1.6259e-06,1000000,5.2250047286673995,-5.225768878998,4.635066777146,-4.6351854390380005,5.227007616638001,-5.22697852704,4.635742023,-4.635623855461,5.22618993783585,4.63540452366125,4.930797230748549,-0.6398844855710835
1,0.001,9000.41328125,9000,124.9993240356,5229.024917548,-5228.911034489,4638.43719208,-4638.430790914,5229.629996402,-5229.634512072,4639.020810805,-4638.866019524,-1.795e-06,1000000,5.229024917548,-5.228911034488999,4.6384371920800005,-4.638430790914,5.229629996402,-5.229634512072,4.639020810805,-4.638866019524,5.229300115127749,4.63868870333075,4.93399440922925,-0.5754583880666789
2,0.001,8000.4826416016,8000,125.0005329132,5231.719271866,-5231.64681718,4641.821224865,-4641.741524455,5232.321695851,-5232.338217909,4642.348622512,-4642.177232138,-1.7849e-06,1000000,5.231719271866,-5.23164681718,4.641821224865,-4.641741524455,5.232321695851001,-5.2323382179090006,4.642348622511999,-4.642177232138001,5.2320065007015,4.6420221509925,4.9370143258470005,-0.5146042807202083
3,0.001,7000.3801757812,7000,125.0005401611,5234.458220766,-5234.399660094,4645.18499349,-4645.07654153,5235.042771746,-5235.062698777,4645.676799254,-4645.530982948,-1.7789e-06,1000000,5.234458220765999,-5.234399660094,4.64518499349,-4.64507654153,5.2350427717459995,-5.235062698777,4.645676799254,-4.645530982948,5.23474083784575,4.6453673293055,4.940054083575625,-0.453350356675533
4,0.001,6000.3570800781,6000,125.0006462097,5237.211667074,-5237.125630584,4648.49203282,-4648.476333435,5237.757495584,-5237.861061806,4649.024002595,-4648.918837823,-1.7849e-06,1000000,5.237211667074,-5.237125630584,4.648492032819999,-4.648476333435,5.237757495584,-5.237861061806,4.649024002595,-4.648918837823,5.237488963762,4.64872780166825,4.943108382715125,-0.3918034097794204
5,0.001,5000.3478271484,5000,125.0000785828,5240.009539156,-5239.958914583,4651.940668893,-4651.852074402,5240.62660408,-5240.654349972,4652.471088227,-4652.321254724,-1.7901e-06,1000000,5.2400095391559995,-5.239958914582999,4.651940668893,-4.651852074402,5.24062660408,-5.240654349972,4.652471088227,-4.652321254724,5.2403123519477495,4.6521462715615005,4.9462293117546245,-0.3289138088963728
6,0.001,5000.3297851563,5000,125.0003482819,5240.001424035,-5239.861228281,4651.902168773,-4651.839794607,5240.607248013,-5240.612185383,4652.492259824,-4652.28636088,-1.7969e-06,1000000,5.240001424035,-5.239861228281,4.651902168773,-4.651839794607,5.240607248012999,-5.240612185383,4.652492259824,-4.65228636088,5.240270521428,4.652130146020999,4.9462003337245,-0.3294977429512202
7,0.001,4500.2989990234,4500,125.0005252838,5241.438303897,-5241.35412101,4653.616577372,-4653.571101444,5241.991946401,-5242.002382349,4654.140007823,-4654.029821831,-1.7901e-06,1000000,5.241438303897,-5.2413541210100005,4.653616577372,-4.653571101444,5.241991946401,-5.242002382349,4.654140007823,-4.654029821831,5.24169668841425,4.6538393771175,4.947768032765875,-0.29790716022119645
8,0.001,4000.0583862305,4000,125.0002746582,5242.821721286,-5242.769052615,4655.368590553,-4655.315566716,5243.429337578,-5243.506797993,4655.912522134,-4655.713432326,-1.8027e-06,1000000,5.242821721286,-5.242769052615,4.6553685905530005,-4.655315566716,5.243429337578,-5.243506797993,4.655912522134,-4.655713432325999,5.243131727368,4.65557752793225,4.949354627650125,-0.2659358088156663
9,0.001,3500.4946777344,3500,125.0004436493,5244.284229293,-5244.17258231,4657.135356224,-4657.028017896,5244.852397937,-5244.905359702,4657.687474767,-4657.514585945,-1.7964e-06,1000000,5.244284229293,-5.244172582309999,4.657135356224,-4.657028017896,5.2448523979370005,-5.244905359702,4.657687474767,-4.657514585945,5.2445536423105,4.657341358708,4.950947500509249,-0.23383795042160996
10,0.001,3000.5152832031,3000,124.9999725342,5245.707307569,-5245.628096807,4658.862609903,-4658.842819832,5246.301213485,-5246.380984681,4659.446218609,-4659.310173265,-1.7986e-06,1000000,5.245707307569,-5.245628096807,4.658862609903,-4.6588428198319995,5.246301213484999,-5.246380984681,4.659446218609,-4.659310173265,5.2460044006355,4.65911545540225,4.952559928018875,-0.2013460477702561
11,0.001,2500.2844604492,2500,124.9999397278,5247.184778351,-5247.081270183,4660.654417119,-4660.600846949,5247.797501445,-5247.786350054,4661.192274976,-4661.059312289,-1.7955e-06,1000000,5.247184778351,-5.247081270183,4.660654417119,-4.6606008469489995,5.2477975014450005,-5.247786350054,4.661192274976,-4.661059312289001,5.24746247500825,4.66087671283325,4.95416959392075,-0.16890979406414416
12,0.001,2000.1034973145,2000,125.0000675201,5248.624150506,-5248.550289297,4662.403677881,-4662.375938585,5249.237951942,-5249.253893325,4662.985726419,-4662.839754766,-1.7994e-06,1000000,5.248624150506,-5.2485502892969995,4.662403677881,-4.662375938585,5.249237951942,-5.249253893325,4.6629857264189996,-4.662839754766,5.2489165712675,4.66265127441275,4.955783922840125,-0.13637957625127867
13,0.001,1500.3772399902,1500,125.0001560211,5250.143242718,-5250.053278621,4664.185989725,-4664.200274651,5250.757337358,-5250.754549492,4664.745602592,-4664.624412604,-1.7943e-06,1000000,5.250143242718,-5.2500532786209995,4.6641859897249995,-4.664200274651,5.250757337357999,-5.250754549491999,4.664745602592,-4.664624412604,5.250427102047249,4.664439069893,4.957433085970124,-0.10314741694100102
14,0.001,1000.5865081787,1000,125.0005752563,5251.58923535,-5251.536261763,4666.041494891,-4666.041500343,5252.287078264,-5252.330882444,4666.618682584,-4666.46651844,-1.7906e-06,1000000,5.25158923535,-5.2515362617629995,4.666041494891,-4.666041500343,5.2522870782640005,-5.252330882444,4.666618682584001,-4.66646651844,5.25193586445525,4.6662920490645,4.959113956759875,-0.06927631901935269
15,0.001,500.6193893433,500,125.0002845764,5253.17884102,-5253.093540339,4667.94368344,-4667.898981008,5253.769330369,-5253.806318176,4668.508910748,-4668.308604349,-1.7951e-06,1000000,5.2531788410199995,-5.253093540339,4.66794368344,-4.667898981008,5.253769330369,-5.253806318176,4.668508910748,-4.668308604349,5.253462007475999,4.66816504488625,4.960813526181125,-0.0350284264134425
16,0.001,0.2016463816,0,124.9999946594,5254.699415998,-5254.675822704,4669.815202418,-4669.757495908,5255.271379492,-5255.288911151,4670.375028772,-4670.221649955,-1.8015e-06,1000000,5.254699415998,-5.254675822704,4.6698152024179995,-4.669757495908001,5.255271379492,-5.255288911151,4.670375028772001,-4.670221649955001,5.25498388233625,4.67004234426325,4.9625131132997495,-0.0007801771891061491
17,0.001,-500.0928207397,-500,125.0004673004,5256.322907886,-5256.26422536,4671.827078998,-4671.817894829,5256.778105227,-5256.855132086,4672.315826026,-4672.182403848,-1.7909e-06,1000000,5.256322907886,-5.25626422536,4.671827078998,-4.671817894828999,5.256778105227,-5.256855132086,4.672315826026,-4.672182403848,5.25655509263975,4.67203580092525,4.9642954467825,0.0351354876504344
18,0.001,-1000.4281005859,-1000,125.0007232666,5257.314334949,-5257.226805536,4673.295687284,-4673.262477079,5257.332479323,-5257.383986733,4672.933814533,-4672.786289193,-1.7888e-06,1000000,5.257314334949,-5.257226805536,4.673295687284001,-4.673262477079,5.257332479323001,-5.257383986733,4.672933814533001,-4.672786289193,5.25731440163525,4.67306956702225,4.965191984328751,0.0532015467459138
19,0.001,-1500.2727783203,-1500,125.000258255,5255.008415401,-5254.897308369,4670.340335013,-4670.27482255,5254.230445807,-5254.302690952,4669.714216415,-4669.552056916,-1.7824e-06,1000000,5.255008415401,-5.254897308368999,4.670340335013,-4.67027482255,5.254230445807,-5.2543026909520005,4.669714216415,-4.669552056916,5.254609715132251,4.6699703577235,4.962290036427875,-0.005275382065876433
20,0.001,-2000.0455383301,-2000,125.0002456665,5251.090548546,-5250.91693548,4665.668966193,-4665.582812223,5250.039782483,-5250.113729427,4665.134398186,-4664.955539608,-1.7864e-06,1000000,5.251090548546,-5.250916935479999,4.665668966193,-4.665582812223,5.250039782482999,-5.250113729427,4.665134398186,-4.664955539608,5.250540248984,4.665335429052501,4.95793783901825,-0.09297617711486171
21,0.001,-2500.4404785156,-2500,124.9999164581,5248.159044269,-5248.113766848,4662.384483233,-4662.315031962,5247.278150704,-5247.328718441,4661.873097024,-4661.712539329,-1.7797e-06,1000000,5.248159044269,-5.248113766847999,4.662384483233,-4.662315031962,5.247278150704,-5.2473287184410005,4.661873097024,-4.661712539329,5.2477199200655,4.662071287887,4.95489560397625,-0.15428002131071397
