,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
0,0.001,10000,300.0008255005,8.9436324337,-8.9261005065,-6.3706247039,6.4518020847,6.46169057,-6.4518683317,-8.8570213784,8.9468958186,1000000.0,0.004956174038499999,0.004981490408400001,0.00496883222345
1,0.001,9000,300.0004257202,8.8537471039,-8.8275673901,-6.5346369925,6.5968792149,6.6015380926,-6.583706426,-8.7329738684,8.8024375128,1000000.0,0.004496069975399999,0.004403895173799998,0.0044499825745999986
2,0.001,8000,300.0013381958,8.7187592635,-8.6974448505,-6.6768930437,6.728245324,6.6889384555,-6.6589579957,-8.5810138494,8.6277706761,1000000.0,0.0040683076628000026,0.0038036461577999996,0.003935976910300001
3,0.001,7000,300.001411438,8.5789556013,-8.5382502088,-6.729288167,6.8071711119,6.7641087517,-6.7422113261,-8.4367306261,8.4653037683,1000000.0,0.0036108857323,0.0033655751154999984,0.0034882304238999995
4,0.001,6000,300.0011611938,8.4479882332,-8.4231569467,-6.922977905,6.9605423998,6.8968673009,-6.8599810834,-8.3121028491,8.3718977618,1000000.0,0.0031142967956000007,0.002800480306100001,0.002957388550850001
5,0.001,5000,300.0010452271,8.3295426828,-8.3008451713,-7.0099403716,7.0767699937,7.0376767121,-7.0091267676,-8.1998144812,8.2420315676,1000000.0,0.002583584374400001,0.0023551356835000005,0.0024693600289500007
6,0.001,4500,300.0005966187,8.2692673494,-8.2569770216,-7.0994661462,7.1594125441,7.1017077365,-7.0748183003,-8.1143423629,8.1934852166,1000000.0,0.0023497183341999977,0.0020489488891999984,0.0021993336116999983
7,0.001,4000,300.0009521484,8.2141899772,-8.1968497915,-7.1092564908,7.20404003,7.1374822093,-7.1175834507,-8.0482441867,8.1717956875,1000000.0,0.0021559741087000006,0.0019067433533999996,0.00203135873105
8,0.001,3500,300.0006454468,8.1203666667,-8.1113270409,-7.172326051,7.2778753602,7.2477331104,-7.2328620106,-8.053724451,8.1166403289,1000000.0,0.0017510985866000031,0.0017201633687000015,0.0017356309776500023
9,0.001,3000,300.0011276245,8.0660512965,-8.0569186517,-7.2398211325,7.3328141172,7.3100387737,-7.3387695269,-8.0271031498,8.0871694073,1000000.0,0.0014741616476000008,0.0015416373074000002,0.0015078994775000005
