,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
0,1e-06,50000,299.9927886963,-2856.6064836,-578.2399949,-4418.212319,170.6631233,-4273.7544129,34.5893327,-4323.0645347,-325.003085,1000000.0,2029.9772568999997,-590.8139926000001,719.5816321499998
1,1e-06,49000,299.996206665,-2924.6476094,-544.4835013,-4482.832998,13.624638,-4304.3084506,55.1845909,-4268.579488,-291.820344,1000000.0,1979.3289333999999,-519.6984919999998,729.8152207
2,1e-06,48000,299.9969528198,-2959.5969013,-502.5782277,-4587.7499393,-56.525524,-4337.1927309,65.1615687,-4270.54868,-308.58933,1000000.0,1945.3356260000003,-569.2650653000003,688.03528035
3,1e-06,47000,299.9968307495,-2982.8743378,-517.2268668,-4563.8012541,-70.251639,-4327.3714126,58.32224395,-4330.715046,-307.211636,1000000.0,1920.0461855500007,-470.0462050999995,724.9999902250006
4,1e-06,46000,299.9993804932,-3009.3086879,-465.5211219,-4466.771025,67.1379246,-4348.0309348,54.4940781,-4362.466908,-375.585685,1000000.0,1858.7374469000001,-547.0277265999994,655.8548601500004
5,1e-06,45000,299.9967834473,-3069.3766712,-449.6680091,-4490.3526651,-6.521892,-4387.5275272,35.6687039,-4361.0053648,-325.123953,1000000.0,1803.4875689999997,-447.94936130000013,677.7691038499997
6,1e-06,44000,299.996711731,-3122.5690267,-446.6055613,-4500.991698,-89.568961,-4411.0984757,92.728228,-4281.293705,-361.106161,1000000.0,1827.8632382999995,-491.2351929999998,668.3140226499999
7,1e-06,43000,299.9978042603,-3173.7338026,-456.7489051,-4392.538785,116.8127065,-4418.7319819,102.9668615,-4291.407515,-357.511668,1000000.0,1804.7139459,-575.4556444999997,614.6291507000001
8,1e-06,42000,299.9971878052,-3186.7776449,-450.1859406,-4403.3106087,189.6559194,-4436.8533385,135.1332111,-4333.932819,-422.463223,1000000.0,1835.3948453,-681.4969321000001,576.9489566
9,1e-06,41000,299.9994689941,-3243.2041018,-458.9231833,-4357.764603,22.4144277,-4510.5356158,130.1827672,-4318.644786,-492.164429,1000000.0,1856.4374645000003,-553.6986736999993,651.3693954000005
10,1e-06,40000,299.9988418579,-3284.1625881,-426.9671878,-4297.909534,172.2708412,-4481.7029547,144.9491489,-4305.839845,-497.893078,1000000.0,1769.4567033,-662.2336082000002,553.61154755
11,1e-06,39000,299.9966766357,-3369.1334297,-375.39236,-4436.4721907,194.3020496,-4474.7488126,133.1855713,-4289.8568153,-385.272096,1000000.0,1614.1933141999998,-726.1895210000005,444.00189659999967
12,1e-06,38000,299.9982192993,-3402.9609091,-373.6355694,-4282.797782,-95.049047,-4510.8437342,119.3225516,-4253.940561,-427.078509,1000000.0,1600.8409460999994,-360.88668299999887,619.9771315500003
13,1e-06,37000,299.9991607666,-3426.5289922,-358.7232134,-4329.169878,-182.488249,-4527.4303282,130.5837982,-4221.265771,-423.263841,1000000.0,1590.2083476,-348.6796989999994,620.7643243000003
14,1e-06,36000,299.9994674683,-3436.0860636,-273.5452055,-4439.036573,-208.199523,-4586.2419118,158.7479695,-4182.720599,-525.388932,1000000.0,1582.4490231999996,-573.5053829999998,504.4718200999999
15,1e-06,35000,300.0010467529,-3466.9729739,-302.4325665,-4436.200222,-396.345985,-4564.902018,164.7954462,-4191.240369,-449.958723,1000000.0,1565.1570568,-298.5725910000004,633.2922328999998
16,1e-06,34000,299.9957580566,-3527.7601757,-241.2543833,-4377.500515,-236.524191,-4594.366396,122.90804,-4287.1697468,-349.856521,1000000.0,1430.7686436000001,-203.66309819999907,613.5527727000006
17,1e-06,33000,300.0004302979,-3568.6904447,-233.5903025,-4329.023569,-199.659842,-4648.1937465,166.5810666,-4325.6828943,-611.095429,1000000.0,1479.6746709000001,-414.77626169999985,532.4492046000001
18,1e-06,32000,299.998399353,-3573.3122847,-238.6031585,-4294.347693,-182.800805,-4644.8435799,188.5386774,-4305.46988,-625.33892,1000000.0,1498.6731311,-431.41592800000024,533.62860155
19,1e-06,31000,300.004624939,-3648.9560875,-230.490016,-4294.768355,-198.325616,-4691.0149389,162.9735249,-4218.406142,-669.211728,1000000.0,1435.5223922999999,-547.2483250000002,444.1370336499998
20,1e-06,30000,300.0044372559,-3666.5377191,-234.271325,-4314.108975,-245.818012,-4662.4375438,185.5729138,-4207.664444,-576.969398,1000000.0,1415.7440635,-437.5959169999999,489.0740732500001
21,1e-06,29000,300.0007385254,-3672.1794147,-197.8027932,-4378.716526,-320.886223,-4699.1844871,159.8775143,-4206.833682,-619.66264,1000000.0,1384.6853799000003,-470.6592609999998,457.01305945000024
22,1e-06,28000,299.9969085693,-3709.9090286,-184.2013967,-4287.381149,-348.170376,-4679.6981605,202.339922,-4266.691767,-641.705906,1000000.0,1356.3304506,-314.22491199999956,521.0527693000001
23,1e-06,27000,300.00027771,-3744.1442982,-159.4854877,-4376.505863,-296.196476,-4744.8061021,190.647372,-4213.93867,-649.54156,1000000.0,1350.7946636000001,-515.9122770000007,417.4411932999997
24,1e-06,26000,300.0007064819,-3779.506573,-187.5150207,-4238.618648,-295.999085,-4718.5402958,177.2121804,-4213.665111,-726.615717,1000000.0,1303.7609239000005,-455.5701689999995,424.0953774500005
25,1e-06,25000,300.0004898071,-3806.4572393,-159.3684377,-4244.855678,-251.972744,-4704.7856165,197.0991032,-4238.208725,-638.337216,1000000.0,1254.7959181000003,-393.01142499999935,430.8922465500005
26,1e-06,24000,300.0016601563,-3843.0463846,-172.2442032,-4220.079105,-261.056823,-4744.168366,209.2043888,-4167.715302,-744.182013,1000000.0,1282.5705734,-535.4889930000003,373.5407901999999
27,1e-06,23000,299.9984985352,-3871.7703218,-172.1948989,-4227.499599,-287.670414,-4739.1461156,211.629197,-4221.896949,-696.732988,1000000.0,1251.1998896999992,-414.6652239999996,418.2673328499998
28,1e-06,22000,299.998449707,-3905.2616614,-145.7949931,-4169.718192,-247.330165,-4794.3246137,207.687502,-4212.302927,-772.068677,1000000.0,1242.5454473999996,-482.1537770000007,380.19583519999946
29,1e-06,21000,300.0112030029,-3911.2079911,-88.1500049,-4353.339978,-425.353396,-4776.3344241,211.6914826,-4307.125781,-810.11204,1000000.0,1164.9679205000004,-430.97284100000024,366.9975397500001
30,1e-06,20000,300.0090881348,-3936.8759141,-76.9717479,-4369.63466,-494.306096,-4795.2397034,249.1665392,-4279.608447,-812.148677,1000000.0,1184.5020763999996,-407.86879399999987,388.3166411999999
31,1e-06,19000,300.0040771484,-3974.344816,-84.6746968,-4278.193876,-584.718735,-4789.1372766,213.8670493,-4265.659558,-817.598147,1000000.0,1113.3342067000008,-245.4137300000001,433.96023835000034
32,1e-06,18000,300.003553772,-4012.7516819,-117.8737985,-4266.386037,-366.113269,-4805.0099357,225.7388142,-4201.692668,-744.538624,1000000.0,1135.8708664999995,-443.1187240000006,346.3760712499994
33,1e-06,17000,300.0001266479,-4033.4890772,-66.3593308,-4276.571892,-386.463854,-4823.5220825,234.7760137,-4208.85587,-878.444067,1000000.0,1091.1683497999998,-559.6962349999995,265.7360574000001
34,1e-06,16000,300.0021484375,-4060.0209739,-70.3780102,-4266.541257,-491.854221,-4826.0300972,236.8415859,-4196.422897,-823.634443,1000000.0,1073.2287193999994,-401.89858199999946,335.66506869999995
35,1e-06,15000,300.008152771,-4080.0896374,-48.5507392,-4298.917722,-610.488183,-4846.3144744,268.239378,-4272.647884,-835.490402,1000000.0,1083.0149542000001,-251.27205700000025,415.87144859999995
36,1e-06,14000,300.0027511597,-4094.1132696,-23.2368884,-4293.184178,-607.548997,-4846.2918758,252.489193,-4243.70845,-918.638755,1000000.0,1027.9046875999998,-360.5654860000004,333.66960079999967
37,1e-06,13000,300.0041595459,-4127.090576,-34.3948348,-4283.619084,-641.483394,-4838.5287278,251.2972678,-4205.430256,-930.612164,1000000.0,997.1302543999999,-367.31759800000043,314.90632819999973
38,1e-06,12000,300.0012130737,-4146.0279293,-5.4930281,-4317.641,-602.404581,-4834.4229242,234.3969562,-4198.551762,-951.011487,1000000.0,928.2849791999995,-467.6961439999998,230.29441759999986
39,1e-06,11000,300.0000076294,-4177.3605633,3.6708267,-4369.859241,-639.529674,-4857.4223485,225.7496131,-4276.632819,-897.008304,1000000.0,902.1405716000002,-350.7050519999998,275.7177598000002
40,1e-06,10000,299.99947052,-4174.4861207,2.7794861,-4333.209343,-586.025986,-4858.6185586,240.8567929,-4259.381511,-985.301101,1000000.0,922.2097446999995,-473.10294700000077,224.55339884999938
41,1e-06,9000,300.0043670654,-4187.4573551,-3.8645499,-4316.052692,-587.04981,-4871.5011238,234.4192807,-4294.85154,-1001.542747,1000000.0,922.3275992999997,-435.69408900000053,243.3167551499996
42,1e-06,8000,300.0004989624,-4199.470026,-17.0126553,-4284.420094,-624.014871,-4846.4519458,240.83904,-4302.206593,-971.779848,1000000.0,904.8336151000005,-329.97847800000034,287.4275685500001
43,1e-06,7000,299.9990036011,-4228.7418794,2.9005348,-4260.38248,-607.034094,-4834.738773,245.0031032,-4283.52737,-926.883527,1000000.0,848.0994620000004,-296.7045430000003,275.69745950000004
44,1e-06,6000,299.9980911255,-4283.1917453,24.6001715,-4344.044949,-626.104604,-4865.7247157,266.6478887,-4253.181331,-879.047483,1000000.0,824.5806876000004,-343.80649700000026,240.38709530000006
45,1e-06,5000,300.0016418457,-4248.6846548,31.054308,-4328.845658,-558.063754,-4858.2467525,227.0002112,-4244.093293,-896.654056,1000000.0,805.5080009000001,-423.34266700000046,191.0826669499998
46,1e-06,4000,299.9968826294,-4295.1810339,33.6755554,-4369.79002,-663.203582,-4858.3184376,201.8801069,-4188.433536,-864.630906,1000000.0,731.3419551999995,-382.7838080000007,174.27907359999938
47,1e-06,3000,300.0012634277,-4278.6902118,57.9489867,-4319.619329,-682.870417,-4882.2255696,218.5836619,-4037.063825,-974.25414,1000000.0,764.1700330000002,-573.9392269999998,95.11540300000019
48,1e-06,2000,299.9993789673,-4312.8086279,23.184678,-4346.700037,-628.124271,-4876.3844741,239.0497414,-4134.282837,-896.826789,1000000.0,779.4409096000007,-481.1197179999997,149.16059580000052
49,1e-06,1000,300.0019104004,-4322.6099883,30.6614755,-4297.780089,-661.36103,-4882.6890777,206.858167,-4203.366502,-886.947254,1000000.0,736.2757809000001,-319.999811,208.13798495000003
50,1e-06,0,300.0040512085,-4340.7446925,55.3472101,-4330.717398,-657.784748,-4887.0079089,223.8140196,-4160.4609138,-779.699957,1000000.0,714.7300258999999,-292.17169320000016,211.27916634999985
51,1e-06,-1000,299.9979202271,-4338.6976221,77.2757199,-4326.59945,-684.656004,-4852.7930288,226.2576317,-4165.998206,-995.762849,1000000.0,663.0773184999996,-471.7080889999995,95.68461475000004
52,1e-06,-2000,299.997744751,-4371.49102,60.3450846,-4274.047411,-579.819713,-4874.8633199,221.5995652,-4197.65715,-987.577977,1000000.0,664.6267804999997,-484.1485249999997,90.23912774999997
53,1e-06,-3000,299.999130249,-4344.6414903,83.735473454,-4338.480777,-653.909889,-4854.2716655,245.2457422,-4209.439583,-1015.072554,1000000.0,671.1404439459996,-490.2038589999994,90.46829247300008
54,1e-06,-4000,299.9987228394,-4353.5520595,48.04356893,-4351.701124,-666.582693,-4827.0148918,251.7864477,-4227.12557,-1043.348513,1000000.0,677.2057110700005,-501.3413740000001,87.93216853500019
55,1e-06,-5000,299.997756958,-4381.4084124,81.61197843,-4386.86614,-756.591413,-4847.2620664,198.5934668,-4155.553509,-890.92317,1000000.0,582.8351423699996,-365.6443879999997,108.59537718499996
56,1e-06,-6000,299.9979141235,-4366.7032074,74.73543289,-4333.441801,-567.52761,-4837.8114399,210.1569769,-4202.166766,-919.783042,1000000.0,606.5297765099997,-483.5304669999996,61.49965475500005
57,1e-06,-7000,299.9990112305,-4422.9221917,101.8842567,-4377.122838,-699.617641,-4851.8982531,225.3084371,-4176.760771,-989.821245,1000000.0,552.4002417999995,-490.5656710000002,30.917285399999685
58,1e-06,-8000,299.9979705811,-4394.8887256,85.84304715,-4342.965718,-670.086411,-4822.5042782,212.2124676,-4235.912354,-1078.050847,1000000.0,553.9849730500006,-515.0178000000001,19.48358652500025
59,1e-06,-9000,299.9991897583,-4402.752891,61.74356051,-4331.969062,-702.065475,-4812.4229321,236.886941,-4239.233137,-951.003728,1000000.0,584.8134215900002,-341.6741780000001,121.56962179500005
60,1e-06,-10000,299.997064209,-4421.1791036,99.33642803,-4355.500101,-660.11905,-4794.9847406,193.520273,-4160.495766,-1002.753337,1000000.0,467.98948196999925,-537.6386219999994,-34.82457001500006
61,1e-06,-11000,299.9969970703,-4416.8801231,99.05353651,-4349.103013,-609.060076,-4803.5233836,207.9572961,-4203.49963,-969.082402,1000000.0,495.5470200899996,-505.6257089999999,-5.039344455000162
62,1e-06,-12000,299.9990722656,-4436.5765155,103.5042511,-4342.360589,-654.102948,-4809.9805874,199.482946,-4218.938509,-1101.694771,1000000.0,469.38276680000024,-571.0139030000005,-50.81556810000012
63,1e-06,-13000,300.0010848999,-4450.0414659,104.6042334,-4358.134932,-618.749805,-4813.3854529,229.5947351,-4217.413996,-1042.025863,1000000.0,488.33448869999984,-563.9969939999999,-37.83125265000001
64,1e-06,-14000,299.9996582031,-4449.1489878,127.9146997,-4318.23961,-661.21036,-4811.0880038,220.8553422,-4176.965673,-1017.170955,1000000.0,454.87965849999955,-497.23453199999994,-21.177436750000197
65,1e-06,-15000,300.001260376,-4489.7982682,86.5791483,-4281.755757,-554.489284,-4797.2876141,229.2651128,-4191.168983,-1060.553213,1000000.0,450.17531039999926,-596.650703,-73.23769630000038
66,1e-06,-16000,299.9975280762,-4495.9156511,106.3303058,-4291.161206,-586.614665,-4783.5886066,219.6258267,-4200.094824,-1105.635392,1000000.0,400.96847640000004,-610.0871089999998,-104.55931629999989
67,1e-06,-17000,299.9978225708,-4442.0169171,97.9529535,-4326.780982,-554.684273,-4771.8819878,222.06926,-4190.747791,-1068.059162,1000000.0,453.98137720000045,-649.4080800000006,-97.71335140000008
68,1e-06,-18000,299.9978607178,-4447.5277131,120.7164124,-4385.574648,-568.892201,-4808.5590857,201.4250153,-4147.947947,-1050.200498,1000000.0,441.73997549999945,-718.934998,-138.59751125000025
69,1e-06,-19000,300.000579834,-4480.063311,123.6009305,-4294.550764,-603.053982,-4815.4689908,202.5751206,-4127.118308,-1014.685077,1000000.0,414.37986990000036,-579.0635509999996,-82.34184054999963
70,1e-06,-20000,299.9982681274,-4474.5091009,141.2035691,-4339.300651,-616.606659,-4768.2149763,210.2740971,-4148.914154,-1059.25691,1000000.0,362.7764033999999,-633.0367479999995,-135.13017229999983
