,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
0,1e-06,49000,299.996206665,-544.4835013,-2924.6476094,13.624638,-4482.832998,55.1845909,-4304.3084506,-291.820344,-4268.579488,1000000.0,1979.3289333999996,-519.6984919999995,729.8152207
1,1e-06,48000,299.9969528198,-502.5782277,-2959.5969013,-56.525524,-4587.7499393,65.1615687,-4337.1927309,-308.58933,-4270.54868,1000000.0,1945.335626,-569.2650653000001,688.03528035
2,1e-06,47000,299.9968307495,-517.2268668,-2982.8743378,-70.251639,-4563.8012541,58.32224395,-4327.3714126,-307.211636,-4330.715046,1000000.0,1920.0461855500007,-470.0462050999995,724.9999902250006
3,1e-06,46000,299.9993804932,-465.5211219,-3009.3086879,67.1379246,-4466.771025,54.4940781,-4348.0309348,-375.585685,-4362.466908,1000000.0,1858.7374469000001,-547.0277265999994,655.8548601500004
4,1e-06,45000,299.9967834473,-449.6680091,-3069.3766712,-6.521892,-4490.3526651,35.6687039,-4387.5275272,-325.123953,-4361.0053648,1000000.0,1803.4875689999994,-447.9493613000004,677.7691038499995
5,1e-06,44000,299.996711731,-446.6055613,-3122.5690267,-89.568961,-4500.991698,92.728228,-4411.0984757,-361.106161,-4281.293705,1000000.0,1827.8632382999995,-491.2351929999995,668.31402265
6,1e-06,43000,299.9978042603,-456.7489051,-3173.7338026,116.8127065,-4392.538785,102.9668615,-4418.7319819,-357.511668,-4291.407515,1000000.0,1804.7139459,-575.4556444999998,614.6291507000001
7,1e-06,42000,299.9971878052,-450.1859406,-3186.7776449,189.6559194,-4403.3106087,135.1332111,-4436.8533385,-422.463223,-4333.932819,1000000.0,1835.3948453000003,-681.4969320999999,576.9489566000002
8,1e-06,41000,299.9994689941,-458.9231833,-3243.2041018,22.4144277,-4357.764603,130.1827672,-4510.5356158,-492.164429,-4318.644786,1000000.0,1856.4374645000003,-553.6986736999997,651.3693954000003
9,1e-06,40000,299.9988418579,-426.9671878,-3284.1625881,172.2708412,-4297.909534,144.9491489,-4481.7029547,-497.893078,-4305.839845,1000000.0,1769.4567033000003,-662.2336082000002,553.6115475500001
10,1e-06,39000,299.9966766357,-375.39236,-3369.1334297,194.3020496,-4436.4721907,133.1855713,-4474.7488126,-385.272096,-4289.8568153,1000000.0,1614.1933141999998,-726.1895210000002,444.0018965999998
11,1e-06,38000,299.9982192993,-373.6355694,-3402.9609091,-95.049047,-4282.797782,119.3225516,-4510.8437342,-427.078509,-4253.940561,1000000.0,1600.8409460999992,-360.8866829999988,619.9771315500002
12,1e-06,37000,299.9991607666,-358.7232134,-3426.5289922,-182.488249,-4329.169878,130.5837982,-4527.4303282,-423.263841,-4221.265771,1000000.0,1590.2083475999998,-348.67969899999935,620.7643243000002
13,1e-06,36000,299.9994674683,-273.5452055,-3436.0860636,-208.199523,-4439.036573,158.7479695,-4586.2419118,-525.388932,-4182.720599,1000000.0,1582.4490231999998,-573.5053829999997,504.47182010000006
14,1e-06,35000,300.0010467529,-302.4325665,-3466.9729739,-396.345985,-4436.200222,164.7954462,-4564.902018,-449.958723,-4191.240369,1000000.0,1565.1570567999997,-298.5725910000001,633.2922328999998
15,1e-06,34000,299.9957580566,-241.2543833,-3527.7601757,-236.524191,-4377.500515,122.90804,-4594.366396,-349.856521,-4287.1697468,1000000.0,1430.7686436,-203.66309819999879,613.5527727000006
16,1e-06,33000,300.0004302979,-233.5903025,-3568.6904447,-199.659842,-4329.023569,166.5810666,-4648.1937465,-611.095429,-4325.6828943,1000000.0,1479.6746709000004,-414.77626169999985,532.4492046000003
17,1e-06,32000,299.998399353,-238.6031585,-3573.3122847,-182.800805,-4294.347693,188.5386774,-4644.8435799,-625.33892,-4305.46988,1000000.0,1498.6731310999999,-431.41592800000035,533.6286015499998
18,1e-06,31000,300.004624939,-230.490016,-3648.9560875,-198.325616,-4294.768355,162.9735249,-4691.0149389,-669.211728,-4218.406142,1000000.0,1435.5223922999999,-547.2483250000005,444.1370336499997
19,1e-06,30000,300.0044372559,-234.271325,-3666.5377191,-245.818012,-4314.108975,185.5729138,-4662.4375438,-576.969398,-4207.664444,1000000.0,1415.7440635000003,-437.59591699999964,489.0740732500003
20,1e-06,29000,300.0007385254,-197.8027932,-3672.1794147,-320.886223,-4378.716526,159.8775143,-4699.1844871,-619.66264,-4206.833682,1000000.0,1384.6853799,-470.6592609999998,457.0130594500001
21,1e-06,28000,299.9969085693,-184.2013967,-3709.9090286,-348.170376,-4287.381149,202.339922,-4679.6981605,-641.705906,-4266.691767,1000000.0,1356.3304506,-314.2249119999997,521.0527693000001
22,1e-06,27000,300.00027771,-159.4854877,-3744.1442982,-296.196476,-4376.505863,190.647372,-4744.8061021,-649.54156,-4213.93867,1000000.0,1350.7946636000001,-515.9122770000004,417.4411932999999
23,1e-06,26000,300.0007064819,-187.5150207,-3779.506573,-295.999085,-4238.618648,177.2121804,-4718.5402958,-726.615717,-4213.665111,1000000.0,1303.7609239000003,-455.5701689999996,424.09537745000034
24,1e-06,25000,300.0004898071,-159.3684377,-3806.4572393,-251.972744,-4244.855678,197.0991032,-4704.7856165,-638.337216,-4238.208725,1000000.0,1254.7959181000006,-393.0114249999997,430.89224655000044
25,1e-06,24000,300.0016601563,-172.2442032,-3843.0463846,-261.056823,-4220.079105,209.2043888,-4744.168366,-744.182013,-4167.715302,1000000.0,1282.5705733999998,-535.4889929999999,373.54079019999995
26,1e-06,23000,299.9984985352,-172.1948989,-3871.7703218,-287.670414,-4227.499599,211.629197,-4739.1461156,-696.732988,-4221.896949,1000000.0,1251.1998896999994,-414.6652239999994,418.26733285
27,1e-06,22000,299.998449707,-145.7949931,-3905.2616614,-247.330165,-4169.718192,207.687502,-4794.3246137,-772.068677,-4212.302927,1000000.0,1242.5454473999998,-482.15377700000045,380.1958351999997
28,1e-06,21000,300.0112030029,-88.1500049,-3911.2079911,-425.353396,-4353.339978,211.6914826,-4776.3344241,-810.11204,-4307.125781,1000000.0,1164.9679205000007,-430.9728409999998,366.99753975000044
29,1e-06,20000,300.0090881348,-76.9717479,-3936.8759141,-494.306096,-4369.63466,249.1665392,-4795.2397034,-812.148677,-4279.608447,1000000.0,1184.5020763999996,-407.868794,388.3166411999998
30,1e-06,19000,300.0040771484,-84.6746968,-3974.344816,-584.718735,-4278.193876,213.8670493,-4789.1372766,-817.598147,-4265.659558,1000000.0,1113.3342067000008,-245.4137300000002,433.9602383500003
31,1e-06,18000,300.003553772,-117.8737985,-4012.7516819,-366.113269,-4266.386037,225.7388142,-4805.0099357,-744.538624,-4201.692668,1000000.0,1135.8708664999995,-443.11872400000084,346.3760712499993
32,1e-06,17000,300.0001266479,-66.3593308,-4033.4890772,-386.463854,-4276.571892,234.7760137,-4823.5220825,-878.444067,-4208.85587,1000000.0,1091.1683497999998,-559.6962349999994,265.73605740000016
33,1e-06,16000,300.0021484375,-70.3780102,-4060.0209739,-491.854221,-4266.541257,236.8415859,-4826.0300972,-823.634443,-4196.422897,1000000.0,1073.2287193999996,-401.8985819999998,335.6650686999999
34,1e-06,15000,300.008152771,-48.5507392,-4080.0896374,-610.488183,-4298.917722,268.239378,-4846.3144744,-835.490402,-4272.647884,1000000.0,1083.0149542,-251.27205700000013,415.8714485999999
35,1e-06,14000,300.0027511597,-23.2368884,-4094.1132696,-607.548997,-4293.184178,252.489193,-4846.2918758,-918.638755,-4243.70845,1000000.0,1027.9046875999998,-360.5654860000004,333.66960079999967
36,1e-06,13000,300.0041595459,-34.3948348,-4127.090576,-641.483394,-4283.619084,251.2972678,-4838.5287278,-930.612164,-4205.430256,1000000.0,997.1302544,-367.31759800000054,314.90632819999973
37,1e-06,12000,300.0012130737,-5.4930281,-4146.0279293,-602.404581,-4317.641,234.3969562,-4834.4229242,-951.011487,-4198.551762,1000000.0,928.2849791999997,-467.69614399999955,230.2944176000001
38,1e-06,11000,300.0000076294,3.6708267,-4177.3605633,-639.529674,-4369.859241,225.7496131,-4857.4223485,-897.008304,-4276.632819,1000000.0,902.1405715999999,-350.70505199999934,275.7177598000003
39,1e-06,10000,299.99947052,2.7794861,-4174.4861207,-586.025986,-4333.209343,240.8567929,-4858.6185586,-985.301101,-4259.381511,1000000.0,922.2097446999996,-473.1029470000012,224.5533988499992
40,1e-06,9000,300.0043670654,-3.8645499,-4187.4573551,-587.04981,-4316.052692,234.4192807,-4871.5011238,-1001.542747,-4294.85154,1000000.0,922.3275992999997,-435.69408900000053,243.3167551499996
41,1e-06,8000,300.0004989624,-17.0126553,-4199.470026,-624.014871,-4284.420094,240.83904,-4846.4519458,-971.779848,-4302.206593,1000000.0,904.8336151000003,-329.978478,287.42756855000016
42,1e-06,7000,299.9990036011,2.9005348,-4228.7418794,-607.034094,-4260.38248,245.0031032,-4834.738773,-926.883527,-4283.52737,1000000.0,848.0994620000006,-296.70454299999983,275.6974595000004
43,1e-06,6000,299.9980911255,24.6001715,-4283.1917453,-626.104604,-4344.044949,266.6478887,-4865.7247157,-879.047483,-4253.181331,1000000.0,824.5806876000001,-343.8064970000005,240.38709529999983
44,1e-06,5000,300.0016418457,31.054308,-4248.6846548,-558.063754,-4328.845658,227.0002112,-4858.2467525,-896.654056,-4244.093293,1000000.0,805.5080009000003,-423.3426670000008,191.08266694999975
45,1e-06,4000,299.9968826294,33.6755554,-4295.1810339,-663.203582,-4369.79002,201.8801069,-4858.3184376,-864.630906,-4188.433536,1000000.0,731.3419551999996,-382.78380800000105,174.27907359999926
46,1e-06,3000,300.0012634277,57.9489867,-4278.6902118,-682.870417,-4319.619329,218.5836619,-4882.2255696,-974.25414,-4037.063825,1000000.0,764.1700330000003,-573.9392269999998,95.11540300000024
47,1e-06,2000,299.9993789673,23.184678,-4312.8086279,-628.124271,-4346.700037,239.0497414,-4876.3844741,-896.826789,-4134.282837,1000000.0,779.4409096000009,-481.1197179999999,149.16059580000046
48,1e-06,1000,300.0019104004,30.6614755,-4322.6099883,-661.36103,-4297.780089,206.858167,-4882.6890777,-886.947254,-4203.366502,1000000.0,736.2757809000004,-319.9998109999997,208.13798495000037
49,1e-06,0,300.0040512085,55.3472101,-4340.7446925,-657.784748,-4330.717398,223.8140196,-4887.0079089,-779.699957,-4160.4609138,1000000.0,714.7300259000003,-292.17169319999994,211.2791663500002
50,1e-06,-1000,299.9979202271,77.2757199,-4338.6976221,-684.656004,-4326.59945,226.2576317,-4852.7930288,-995.762849,-4165.998206,1000000.0,663.0773184999998,-471.70808899999975,95.68461475000004
51,1e-06,-2000,299.997744751,60.3450846,-4371.49102,-579.819713,-4274.047411,221.5995652,-4874.8633199,-987.577977,-4197.65715,1000000.0,664.6267804999998,-484.1485249999996,90.23912775000008
52,1e-06,-3000,299.999130249,83.735473454,-4344.6414903,-653.909889,-4338.480777,245.2457422,-4854.2716655,-1015.072554,-4209.439583,1000000.0,671.1404439459993,-490.2038589999993,90.46829247300002
53,1e-06,-4000,299.9987228394,48.04356893,-4353.5520595,-666.582693,-4351.701124,251.7864477,-4827.0148918,-1043.348513,-4227.12557,1000000.0,677.2057110700007,-501.34137399999963,87.93216853500053
54,1e-06,-5000,299.997756958,81.61197843,-4381.4084124,-756.591413,-4386.86614,198.5934668,-4847.2620664,-890.92317,-4155.553509,1000000.0,582.8351423699996,-365.6443879999997,108.59537718499996
55,1e-06,-6000,299.9979141235,74.73543289,-4366.7032074,-567.52761,-4333.441801,210.1569769,-4837.8114399,-919.783042,-4202.166766,1000000.0,606.5297765099995,-483.5304669999996,61.49965475499994
56,1e-06,-7000,299.9990112305,101.8842567,-4422.9221917,-699.617641,-4377.122838,225.3084371,-4851.8982531,-989.821245,-4176.760771,1000000.0,552.4002418,-490.5656710000003,30.917285399999855
57,1e-06,-8000,299.9979705811,85.84304715,-4394.8887256,-670.086411,-4342.965718,212.2124676,-4822.5042782,-1078.050847,-4235.912354,1000000.0,553.9849730500009,-515.0177999999996,19.483586525000646
58,1e-06,-9000,299.9991897583,61.74356051,-4402.752891,-702.065475,-4331.969062,236.886941,-4812.4229321,-951.003728,-4239.233137,1000000.0,584.81342159,-341.6741780000002,121.56962179499988
59,1e-06,-10000,299.997064209,99.33642803,-4421.1791036,-660.11905,-4355.500101,193.520273,-4794.9847406,-1002.753337,-4160.495766,1000000.0,467.98948196999936,-537.6386219999995,-34.82457001500006
60,1e-06,-11000,299.9969970703,99.05353651,-4416.8801231,-609.060076,-4349.103013,207.9572961,-4803.5233836,-969.082402,-4203.49963,1000000.0,495.54702008999993,-505.6257089999999,-5.039344454999991
61,1e-06,-12000,299.9990722656,103.5042511,-4436.5765155,-654.102948,-4342.360589,199.482946,-4809.9805874,-1101.694771,-4218.938509,1000000.0,469.38276680000035,-571.0139030000009,-50.81556810000029
62,1e-06,-13000,300.0010848999,104.6042334,-4450.0414659,-618.749805,-4358.134932,229.5947351,-4813.3854529,-1042.025863,-4217.413996,1000000.0,488.3344887000003,-563.9969940000001,-37.8312526499999
63,1e-06,-14000,299.9996582031,127.9146997,-4449.1489878,-661.21036,-4318.23961,220.8553422,-4811.0880038,-1017.170955,-4176.965673,1000000.0,454.8796585,-497.2345319999995,-21.177436749999742
64,1e-06,-15000,300.001260376,86.5791483,-4489.7982682,-554.489284,-4281.755757,229.2651128,-4797.2876141,-1060.553213,-4191.168983,1000000.0,450.17531039999903,-596.6507030000002,-73.23769630000061
65,1e-06,-16000,299.9975280762,106.3303058,-4495.9156511,-586.614665,-4291.161206,219.6258267,-4783.5886066,-1105.635392,-4200.094824,1000000.0,400.9684764000003,-610.087109,-104.55931629999986
66,1e-06,-17000,299.9978225708,97.9529535,-4442.0169171,-554.684273,-4326.780982,222.06926,-4771.8819878,-1068.059162,-4190.747791,1000000.0,453.9813772000007,-649.4080800000011,-97.71335140000019
67,1e-06,-18000,299.9978607178,120.7164124,-4447.5277131,-568.892201,-4385.574648,201.4250153,-4808.5590857,-1050.200498,-4147.947947,1000000.0,441.7399754999997,-718.9349979999997,-138.59751125000003
68,1e-06,-19000,300.000579834,123.6009305,-4480.063311,-603.053982,-4294.550764,202.5751206,-4815.4689908,-1014.685077,-4127.118308,1000000.0,414.3798698999999,-579.0635509999993,-82.34184054999969
69,1e-06,-20000,299.9982681274,141.2035691,-4474.5091009,-616.606659,-4339.300651,210.2740971,-4768.2149763,-1059.25691,-4148.914154,1000000.0,362.77640340000016,-633.0367479999995,-135.13017229999969
70,1e-06,-21000,299.9987136841,135.0314429,-4459.7271316,-614.128166,-4347.480231,173.2208166,-4762.0850412,-1059.296814,-4131.336041,1000000.0,340.54728330000034,-661.3128379999998,-160.38277734999974
71,1e-06,-22000,300.0004882813,116.5020272,-4505.3365408,-525.6125,-4284.048005,181.89147,-4750.8923238,-888.000428,-4094.628719,1000000.0,310.9452257999992,-551.8072139999999,-120.43099410000036
72,1e-06,-23000,299.9987640381,139.8738268,-4476.0185632,-571.251982,-4343.992445,183.9477437,-4727.3881852,-822.84996,-3994.623995,1000000.0,295.4435389,-600.9664279999997,-152.76144454999985
73,1e-06,-24000,300.0005081177,136.2066542,-4489.477548,-628.620096,-4327.997673,177.8436181,-4733.2314535,-854.179384,-4079.807825,1000000.0,285.39086939999925,-473.74913600000036,-94.17913330000056
74,1e-06,-25000,300.0011062622,128.4842815,-4467.4842578,-541.777556,-4316.5231904,130.9920282,-4749.6506433,-921.564824,-4028.000121,1000000.0,284.6741322000007,-668.3103374000002,-191.81810259999975
75,1e-06,-26000,300.0039215088,88.5306734,-4476.9073335,-523.163739,-4316.118189,176.4776502,-4714.388233,-918.841688,-4126.598629,1000000.0,325.4278763000002,-585.1975089999996,-129.8848163499997
76,1e-06,-27000,300.0035049438,130.8925992,-4473.7910327,-589.599378,-4278.035693,153.0379703,-4691.0647095,-909.562984,-4137.017778,1000000.0,239.4190478999999,-460.9815209999997,-110.7812365499999
77,1e-06,-28000,300.0022750854,114.6083508,-4452.5763958,-518.516776,-4305.470843,144.3411087,-4646.2627855,-852.651996,-4126.499415,1000000.0,223.41914760000054,-513.106648,-144.8437501999997
78,1e-06,-29000,299.9982635498,116.7198513,-4453.8563065,-513.219178,-4299.438295,172.8487636,-4667.2487084,-975.089635,-4152.305143,1000000.0,269.52131420000023,-609.0036090000003,-169.74114740000005
79,1e-06,-30000,300.0004943848,151.4162668,-4518.1673258,-540.520459,-4337.550453,163.373962,-4657.258036,-924.259561,-4150.701339,1000000.0,151.04840539999987,-570.5882160000001,-209.76990530000012
80,1e-06,-31000,300.0012039185,127.4142696,-4485.3544428,-473.070367,-4281.918634,161.2608182,-4633.5817565,-815.769614,-4097.33777,1000000.0,182.07386230000066,-527.280111,-172.6031243499997
81,1e-06,-32000,300.0008789063,120.6513219,-4519.3283725,-473.323385,-4310.8873792,128.6823725,-4608.9701123,-1016.930041,-4018.611215,1000000.0,97.67279040000085,-835.8828202000004,-369.1050148999998
82,1e-06,-33000,299.9992736816,121.8330769,-4489.7605256,-492.929209,-4242.120683,150.3644695,-4603.3737065,-822.998114,-4136.241432,1000000.0,142.14457349999975,-435.9481560000004,-146.90179125000031
83,1e-06,-34000,299.9979827881,116.4574826,-4464.9498077,-498.834795,-4311.3735698,118.5777821,-4567.0410354,-906.599513,-4088.099029,1000000.0,104.21152720000009,-631.0392588000004,-263.41386580000017
